Tie-break 1;C,B,A;1,1,1;(C(AB));ABC;10110;010;CA
Tie-break 2;D,C,B,A;1,1,1,1;((AB)(CD));ABCD;00011011;0011;AD
Tie-break 3;A,B,C;3,5,2;((CA)B);;;;
Empty inputs;A,B,C,D;1,2,3,4;(D((AB)C));;;;
Impossible decode;A,B,C;2,1,1;(A(BC));A;0;1;!
Generated case number 0;j,e,F,h,Z,x,w,Y,X,q,A,i,I,l,z,O,v,o,V,G,n,E,T,B,L;13,10,9,15,5,8,1,7,5,2,12,6,14,3,8,7,5,5,5,9,12,9,14,2,5;((((EF)(G(LV)))(((XZ)e)((ov)A)))(((n(iO))(jI))((T(Y(l(q(wB)))))(h(xz)))));;;0111000011101111010010100101111111010;AEhxiizY
Generated case number 1;I,P,t,v,U,V,W,S,Y,K,o,h,l,A,C,r,f,e,y,a,R,O,m,Q,B,E,z,u,w,c;7,12,10,1,14,2,9,4,11,11,10,15,1,9,11,15,5,7,11,14,4,1,11,6,13,8,1,12,5,2;((((my)(Pu))((B(QI))(Ua)))((((eE)h)(r((((Ol)V)R)(S(c(vz))))))(((AW)((fw)o))((tC)(KY)))));EPVoK;10001001010110011101111110;0101011111011010000;QYUe
Generated case number 2;p,U,Q,V,m,S,t,n,z,D,E,L,M,T,k,a,A,H,I,W,J,j,d,B,R,K,P,Z,Y,X;4,12,10,6,7,1,5,11,10,3,4,2,5,11,9,3,3,13,5,8,7,2,4,13,5,2,11,15,10,6;(((((Rt)Y)(zP))((Tn)(((AD)((SK)a))U)))((((VX)B)(H(Jm)))((Z((E(Lj))W))(((dp)k)((IM)Q)))));Zt;110000001;011010110010110101;KBK
Generated case number 3;t,F,g,d,I,K,X,b,N,r,j,s,y,k,q,O,z,Y,m,A,P,x,H,L,C,n,a,U,Z,G,W,V,w,e,f,E;1,7,3,10,1,6,5,12,3,10,3,12,2,8,4,1,12,6,5,14,5,12,1,10,14,12,4,7,13,1,6,9,13,15,6,5;((((sx)(z((gj)F)))((Zw)(AC)))((((U(((IO)y)a))e)((k(qE))(VL)))((((PX)d)(r(m((t(GH))N))))(((KW)(Yf))(bn)))));;;110001100010001110001001111011111000110010100110111011;XIKefKdZH
Generated case number 4;H,u,Z,m,I,C,w,D;5,1,11,13,13,10,13,14;((D((uH)C))((ZI)(mw)));IZDC;10110000011;1000110000110010010111;!
Generated case number 5;V,w,S,Y,l,I,d,x,B,J,r,s,n,z;5,13,2,2,12,9,8,8,1,9,7,1,10,9;(((Jz)(n(V(Y((Bs)S)))))((lw)((rd)(xI))));BBnsxzw;0111100011110001001111011110001101;110101111010111100011100111100110001100111001111000110110;!
